question,option,count
Q2:In the period January – December 2024 did your department / branch / unit / field office / programme / project conducted work on youth employment??(Yes/No),Yes,34
Q2:In the period January – December 2024 did your department / branch / unit / field office / programme / project conducted work on youth employment??(Yes/No),No,1
Q3:Please indicate the cluster(s) of the implementation framework relevant to your work on youth employment. ,Knowledge development and dissemination.,28
Q3:Please indicate the cluster(s) of the implementation framework relevant to your work on youth employment. ,Technical assistance and capacity-building of constituents.,31
Q3:Please indicate the cluster(s) of the implementation framework relevant to your work on youth employment. ,Advocacy and partnerships.,29
Q4:Please indicate the policy areas relevant to your work on youth employment. ,Employment and economic policies for youth employment.,26
Q4:Please indicate the policy areas relevant to your work on youth employment. ,"Employability – Education, training and skills, and the school-to-work transition.",31
Q4:Please indicate the policy areas relevant to your work on youth employment. ,Labour market policies.,23
Q4:Please indicate the policy areas relevant to your work on youth employment. ,Youth entrepreneurship and self-employment.,27
Q4:Please indicate the policy areas relevant to your work on youth employment. ,Rights for young people.,19
Q4:Please indicate the policy areas relevant to your work on youth employment. ,Other,3
Q4:Please indicate the policy areas relevant to your work on youth employment. ,Other (elaborated answ),3
Q5:Please mark the youth groups targeted in your work on youth employment. ,Young women,31
Q5:Please mark the youth groups targeted in your work on youth employment. ,"Young people not in employment, education or training (NEET)",29
Q5:Please mark the youth groups targeted in your work on youth employment. ,Young migrant workers,20
Q5:Please mark the youth groups targeted in your work on youth employment. ,Young refugees,13
Q5:Please mark the youth groups targeted in your work on youth employment. ,Young people - sexual orientation and gender identity,4
Q5:Please mark the youth groups targeted in your work on youth employment. ,Young people with disabilities,21
Q5:Please mark the youth groups targeted in your work on youth employment. ,Young rural workers,19
Q5:Please mark the youth groups targeted in your work on youth employment. ,Young indigenous people,16
Q5:Please mark the youth groups targeted in your work on youth employment. ,Other,2
Q5:Please mark the youth groups targeted in your work on youth employment. ,Other (elaborated answ),8
