,,question,Q8:Did you provide financial support to youth-led projects in 2024?,Q8:Did you provide financial support to youth-led projects in 2024?,"Q9:If yes, provide examples of those youth-led projects","Q9:If yes, provide examples of those youth-led projects","Q9:If yes, provide examples of those youth-led projects","Q9:If yes, provide examples of those youth-led projects","Q9:If yes, provide examples of those youth-led projects","Q9:If yes, provide examples of those youth-led projects","Q9:If yes, provide examples of those youth-led projects","Q9:If yes, provide examples of those youth-led projects","Q9:If yes, provide examples of those youth-led projects","Q9:If yes, provide examples of those youth-led projects"
,,number,8,9,9,9,9,9,9,9,9,9,9,9
UserId,Department/Region,option,Yes,No,Initiative/programme/project's name??,Related CPO or GLO under P&B 2024-2025,Web link??,Short description?,Country or Region,New or long-standing,Funding source (Options: regular budget or extrabudgetary),DC code if applicable,Focus (Options: Youth only or Youth is one of the target groups),Is it part of a UN Joint Programme (Yes or No)
USR-202506-0001,Region: Asia and the Pacific,,,Yes,,,,,,,,,,
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,,,,
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,,,,
USR-202506-0002,Statistics,,,,,,,,,,,,,
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,,,,,,
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,,,,,,
USR-202506-0004,Region: Asia and the Pacific,,,Yes,,,,,,,,,,
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,,,
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,,,
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,,,
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,,,
USR-202506-0005,Region: Arab States,,Yes,,"Supporting Resilient Livelihoods, Food Security and Climate Adaptation in Yemen (ERRY III) Joint Programme. ",YEM156,https://www.ilo.org/regions-and-countries/arab-states/yemen,"Increased capacities of vulnerable individuals to engage in gender-sensitive and culturally appropriate technical and vocational skills development opportunities through quality apprenticeship program.
?	1,539 apprentices enrolled in on-job training in collaboration with private sector (44% women).
?	308 young men and women trained in solar system installation, repair and maintenance.
?	128 technicians trained in advanced solar pumping systems.
?	6 new vocational curricula developed and 5 updated.",Yemen,Long-standing,extrabudgetary,"ERRY III YEM/21/01/UND (108526),",Youth are one of the target groups,Yes
USR-202506-0006,Region: Arab States,,,Yes,,,,,,,,,,
USR-202506-0006,Region: Arab States,,,,,,,,,,,,,
USR-202506-0006,Region: Arab States,,,,,,,,,,,,,
USR-202506-0006,Region: Arab States,,,,,,,,,,,,,
USR-202506-0006,Region: Arab States,,,,,,,,,,,,,
USR-202506-0006,Region: Arab States,,,,,,,,,,,,,
USR-202506-0008,Region: Europe and Central Asia,,,Yes,,,,,,,,,,
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,,,
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,,,
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,,,
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,,,
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,,,
USR-202506-0009,Region: Africa,,,Yes,,,,,,,,,,
USR-202506-0009,Region: Africa,,,,,,,,,,,,,
USR-202506-0009,Region: Africa,,,,,,,,,,,,,
USR-202506-0011,Research and Publications,,,Yes,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,
