,,question,Q3:Please indicate the cluster(s) of the implementation framework relevant to your work on youth employment. ,Q3:Please indicate the cluster(s) of the implementation framework relevant to your work on youth employment. ,Q3:Please indicate the cluster(s) of the implementation framework relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q4:Please indicate the policy areas relevant to your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. ,Q5:Please mark the youth groups targeted in your work on youth employment. 
,,number,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
UserId,Department/Region,option,Knowledge development and dissemination. ,Technical assistance and capacity-building of constituents. ,Advocacy and partnerships. ,Employment and economic policies for youth employment. ,"Employability – Education, training and skills, and the school-to-work transition. ",Labour market policies. ,Youth entrepreneurship and self-employment. ,Rights for young people. ,Other,Other (elaborated answ),Young women,"Young people not in employment, education or training (NEET) ",Young migrant workers ,Young refugees ,Young people - sexual orientation and gender identity ,Young people with disabilities ,Young rural workers  ,Young indigenous people ,Other,Other (elaborated answ)
USR-202506-0001,Region: Asia and the Pacific,,YES,YES,YES,YES,YES,YES,YES,,,,,,,,,YES,,,,Youth as a whole
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0001,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0002,Statistics,,YES,,,,,,,,YES,Statistics on youth employment,YES,YES,,,,YES,YES,,,
USR-202506-0003,Region: Asia and the Pacific,,YES,YES,,,YES,,YES,YES,,,YES,,YES,,,YES,YES,YES,,
USR-202506-0003,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0004,Region: Asia and the Pacific,,,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,YES,,,YES,YES,YES,,
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0004,Region: Asia and the Pacific,,,,,,,,,,,,,,,,,,,,,
USR-202506-0005,Region: Arab States,,,YES,YES,YES,YES,,YES,,,,YES,YES,,YES,,YES,YES,,,
USR-202506-0006,Region: Arab States,,,YES,YES,,YES,YES,YES,YES,,,YES,YES,,YES,,YES,,,,
USR-202506-0006,Region: Arab States,,,,,,,,,,,,,,,,,,,,,
USR-202506-0006,Region: Arab States,,,,,,,,,,,,,,,,,,,,,
USR-202506-0006,Region: Arab States,,,,,,,,,,,,,,,,,,,,,
USR-202506-0006,Region: Arab States,,,,,,,,,,,,,,,,,,,,,
USR-202506-0006,Region: Arab States,,,,,,,,,,,,,,,,,,,,,
USR-202506-0008,Region: Europe and Central Asia,,YES,YES,YES,YES,YES,YES,YES,YES,,,YES,YES,,,,YES,YES,,,
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,,,,,,,,,,,
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,,,,,,,,,,,
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,,,,,,,,,,,
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,,,,,,,,,,,
USR-202506-0008,Region: Europe and Central Asia,,,,,,,,,,,,,,,,,,,,,
USR-202506-0009,Region: Africa,,,YES,YES,YES,YES,YES,YES,,,,YES,,,YES,,,,,,young women and men
USR-202506-0009,Region: Africa,,,,,,,,,,,,,,,,,,,,,
USR-202506-0009,Region: Africa,,,,,,,,,,,,,,,,,,,,,
USR-202506-0011,Research and Publications,,YES,,,,,,,,YES,Reporting on Trends,,YES,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,YES,,,YES,YES,YES,YES,,,,,,,,,,,,"Our capacity building work targets mostly  constituents responsible for policies and programes for youth, very rarely  youth is targetted directly."
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,,,,,,,,,
USR-202506-0012,International Training Centre of the ILO,,,,,,,,,,,,,,,,,,,,,
USR-202506-0013,Region: Europe and Central Asia,,,,,,,,,,,,,,,,,,,,,
USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",,YES,,,YES,YES,YES,YES,,,,YES,YES,YES,YES,YES,YES,YES,YES,,
