Question,CPO/GLO Code,Frequency,Percentage
Q6,Enabling Outcome A,16,16.2%
Q6,GLO435,11,11.1%
Q6,"IDN 126, IDN 127, IDN 129, IDN 131, IDN 152, IDN 155,",11,11.1%
Q6,DWCP Palestine / GLO/COOP,9,9.1%
Q7,DWCP Palestine / GLO/COOP,6,7.7%
Q7,"BGD101 Policies & programmes to promote full, productive & decent employment operationalised.",5,6.4%
Q7,Output 3.5,4,5.1%
Q10,NPL 828,5,12.2%
Q10,"BGD102 - Improved national capacity to develop sustainable enterprises for inclusive economic growth, decent jobs and just transition.",3,7.3%
Q10,LKA 107,3,7.3%
Q11,GLO435,10,23.3%
Q11,Enabling Outcome A,3,7.0%
