Question,User ID,Department/Region,Work Name
Q6,USR-202506-0001,Region: Asia and the Pacific,Guide on Core Skills for the Green Transition - Student Book
Q6,USR-202506-0001,Region: Asia and the Pacific,"Situation Analysis of
 Youth Development in China"
Q6,USR-202506-0002,Statistics,Outcome A
Q6,USR-202506-0003,Region: Asia and the Pacific,"Trends in child labour in Myanmar 2021-24. A study of Mon, Kayin, Kayah and Shan States"
Q6,USR-202506-0003,Region: Asia and the Pacific,"The Assessment of value chains in pilot areas of the Myanmar Programme on the Elimination of Child Labour (My-PEC) in the Ayeyarwady Region, Yangon Region and Mon State"
Q6,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q6,USR-202506-0008,Region: Europe and Central Asia,Youth Guarantee
Q6,USR-202506-0011,Research and Publications,World Employment and Social Outlook: Trends 2024
Q6,USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",SDG 8.b.1 indicator reporting
Q6,USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",Employment Policy Gateway / Youth Employment Strategies Module
Q6,USR-202506-0014,"Employment Policy, Job Creation and Livelihoods",Youth at Work Report
Q6,USR-202506-0015,Communication and Public Information,Launch of Global Employment Trends for Youth
Q6,USR-202506-0015,Communication and Public Information,Launch of Global Employment Trends for Youth
Q6,USR-202506-0015,Communication and Public Information,Launch of Global Employment Trends for Youth
Q6,USR-202506-0015,Communication and Public Information,Launch of Global Employment Trends for Youth
Q6,USR-202506-0015,Communication and Public Information,Launch of Global Employment Trends for Youth
Q6,USR-202506-0015,Communication and Public Information,Launch of Global Employment Trends for Youth
Q6,USR-202506-0015,Communication and Public Information,Youth employment topic portal on new website
Q6,USR-202506-0015,Communication and Public Information,Podcast - How young refugees are using skills and entrepreneurship to find independence
Q6,USR-202506-0015,Communication and Public Information,Podcast - The social justice challenge for African youth
Q6,USR-202506-0015,Communication and Public Information,Podcast - The social justice challenge for youth in Colombia
Q6,USR-202506-0015,Communication and Public Information,ILO in Action video - Cote d'Ivoire
Q6,USR-202506-0015,Communication and Public Information,ILO in Action video - Colombia
Q6,USR-202506-0015,Communication and Public Information,ILO social media content
Q6,USR-202506-0015,Communication and Public Information,"Interactive dialogue and launch of ""Work Wise Youth: A guide to youth rights at work"""
Q6,USR-202506-0015,Communication and Public Information,Event on youth challenge in Africa
Q6,USR-202506-0015,Communication and Public Information,ILO social media content
Q6,USR-202506-0017,Sectoral Policies,ILO-IFAD brief
Q6,USR-202506-0018,Universal Social Protection,Work Wise Youth: A Guide to Youth Rights at Work (session 5)
Q6,USR-202506-0018,Universal Social Protection,"The promise of universal child benefits: 
The foundational policy for economic and social development"
Q6,USR-202506-0018,Universal Social Protection,"World Social Protection Report 2024-26: USP for climate action and a just transition (Chap.2.2.2, 4.2.6)"
Q6,USR-202506-0019,Region: Arab States,Arab States Employment and Social Outlook - Trends 2024: Promoting social justice through a just transition
Q6,USR-202506-0020,Region: Asia and the Pacific,"Promoting youth employment in Songkhla and Yala, Thailand"
Q6,USR-202506-0020,Region: Asia and the Pacific,Work wise youth: A guide to youth rights at work
Q6,USR-202506-0022,Region: Arab States,Cooperative Sector Strategy (2024–2029
Q6,USR-202506-0022,Region: Arab States,Cooperative Audit Manua
Q6,USR-202506-0022,Region: Arab States,Staff Capacity Building (CWA)
Q6,USR-202506-0022,Region: Arab States,Cooperative Business Plan Competition
Q6,USR-202506-0022,Region: Arab States,Integration of ILO’s Think.COOP and Start.COOP into University Incubators
